Game,Outcome,Moves,FinalReward,AvgLoss,AvgQ
633,Win,17,1.540,0.0547,9.1580
634,Win,13,0.250,0.0471,9.1883
635,Win,40,3.040,0.0463,9.1919
636,Win,18,0.340,0.0639,9.1151
637,Win,40,1.830,0.0487,9.1998
638,Win,40,1.220,0.0403,9.2089
639,Win,34,0.460,0.0631,9.1205
640,Win,40,2.030,0.0441,9.1789
641,Win,40,2.935,0.0486,9.1535
642,Win,28,0.795,0.0755,9.1422
643,Win,25,0.800,0.0376,9.1813
644,Win,40,2.345,0.0500,9.1770
645,Loss/Draw,8,-0.525,0.0710,9.1624
646,Win,25,1.505,0.0418,9.1649
647,Win,24,0.415,0.0415,9.2024
648,Win,29,1.585,0.0541,9.1286
649,Win,40,3.440,0.0370,9.2027
650,Win,19,1.240,0.0548,9.1673
651,Win,17,1.345,0.0304,9.2076
652,Win,13,0.355,0.0470,9.1923
653,Loss/Draw,7,-0.520,0.0603,9.0835
654,Win,21,1.230,0.0608,9.1096
655,Win,32,0.670,0.0380,9.2110
656,Win,40,2.135,0.0460,9.1536
657,Win,40,2.840,0.0498,9.2286
658,Win,12,2.070,0.0660,9.0990
659,Win,16,1.350,0.0570,9.1385
660,Win,18,0.540,0.0524,9.2209
661,Win,31,2.085,0.0387,9.1448
662,Win,20,0.425,0.0714,9.2246
663,Win,40,1.735,0.0490,9.1839
664,Win,34,3.275,0.0583,9.2062
665,Loss/Draw,16,-0.565,0.0401,9.1482
666,Win,8,0.275,0.0332,9.0883
667,Win,8,0.275,0.0660,9.1678
668,Win,40,2.935,0.0475,9.1725
669,Win,15,0.650,0.0571,9.2008
670,Win,10,2.480,0.0500,9.1955
671,Win,32,2.380,0.0427,9.1894
672,Win,8,0.275,0.0556,9.2409
673,Win,20,1.935,0.0594,9.0901
674,Win,9,2.275,0.0526,9.2003
675,Win,40,2.345,0.0503,9.1879
676,Win,22,0.415,0.0341,9.2999
677,Win,40,1.735,0.0566,9.1526
678,Win,28,0.690,0.0617,9.1421
679,Loss/Draw,18,-0.070,0.0423,9.2658
680,Win,27,2.595,0.0458,9.1850
681,Win,40,3.145,0.0514,9.1794
682,Win,40,2.345,0.0402,9.1695
683,Win,34,3.665,0.0441,9.1316
684,Win,40,1.735,0.0428,9.2206
685,Win,35,3.375,0.0422,9.1663
686,Loss/Draw,16,-0.155,0.0414,9.2187
687,Win,23,1.020,0.0594,9.1214
688,Win,40,1.735,0.0460,9.1715
689,Win,35,3.765,0.0455,9.1532
690,Win,40,3.945,0.0464,9.1525
691,Win,40,1.220,0.0391,9.2096
692,Loss/Draw,19,-0.170,0.0504,9.1201
693,Win,40,1.840,0.0461,9.1063
694,Win,12,0.760,0.0641,9.1727
695,Win,16,1.360,0.0300,9.2016
696,Win,20,1.340,0.0540,9.1830
697,Win,20,3.345,0.0458,9.1473
698,Win,40,1.735,0.0449,9.1245
699,Win,32,3.675,0.0523,9.1331
700,Win,40,1.230,0.0387,9.1929
701,Win,10,0.275,0.0316,9.1457
702,Win,40,3.040,0.0406,9.1255
703,Win,17,2.950,0.0713,9.0833
704,Win,10,2.480,0.0485,9.0230
705,Win,40,3.045,0.0438,9.1701
706,Win,24,0.405,0.0489,9.1418
707,Win,40,3.040,0.0497,9.1873
708,Loss/Draw,9,-0.530,0.0494,9.2131
709,Win,25,1.210,0.0408,9.2179
710,Win,40,3.945,0.0448,9.1984
711,Win,20,0.130,0.0300,9.1023
712,Win,39,2.850,0.0526,9.1562
713,Loss/Draw,20,-0.385,0.0421,9.1569
714,Win,30,0.785,0.0425,9.1373
715,Win,6,2.090,0.0457,9.1624
716,Win,40,3.145,0.0536,9.1988
717,Win,18,1.540,0.0519,9.1877
718,Win,22,0.615,0.0385,9.1399
719,Win,40,2.135,0.0598,9.2226
720,Win,40,2.125,0.0463,9.1120
721,Win,22,0.720,0.0350,9.1972
722,Win,29,2.690,0.0548,9.1741
723,Win,28,1.385,0.0438,9.2383
724,Win,6,2.290,0.0696,9.2652
725,Win,24,2.820,0.0649,9.1764
726,Win,21,3.635,0.0549,9.2081
727,Win,18,2.640,0.0445,9.1820
728,Win,25,0.305,0.0506,9.1601
729,Win,20,1.340,0.0529,9.2016
730,Win,40,3.945,0.0502,9.1569
731,Win,40,1.325,0.0368,9.1939
732,Win,40,1.735,0.0476,9.1770
733,Win,31,0.675,0.0503,9.1974
734,Win,22,2.420,0.0493,9.1981
735,Win,11,0.070,0.0419,9.1946
736,Win,12,2.480,0.0451,9.1911
737,Loss/Draw,13,-0.350,0.0492,9.3019
738,Win,23,0.420,0.0416,9.1818
739,Win,40,1.735,0.0377,9.1713
740,Win,21,1.930,0.0326,9.2035
741,Win,35,2.765,0.0435,9.2224
742,Win,39,1.645,0.0489,9.1434
743,Win,18,0.635,0.0446,9.1796
744,Win,32,1.670,0.0465,9.1445
745,Win,28,5.295,0.0487,9.1379
746,Win,19,0.735,0.0534,9.2143
747,Loss/Draw,12,-0.135,0.0768,9.0790
748,Win,26,4.010,0.0631,9.1536
749,Win,17,2.950,0.0455,9.2336
750,Win,18,0.740,0.0456,9.1204
751,Loss/Draw,13,-0.055,0.0672,9.1401
752,Win,40,2.240,0.0475,9.1502
753,Loss/Draw,14,-0.145,0.0430,9.1128
754,Loss/Draw,11,-0.130,0.0424,9.2449
755,Win,11,0.565,0.0436,9.1018
756,Win,16,2.345,0.0500,9.2404
757,Loss/Draw,27,-0.105,0.0399,9.1572
758,Win,40,3.145,0.0453,9.1873
759,Win,22,0.320,0.0531,9.1496
760,Win,19,0.830,0.0589,9.1905
761,Win,33,3.280,0.0444,9.2777
762,Win,40,1.240,0.0431,9.1968
763,Win,4,1.795,0.0513,9.1129
764,Win,22,1.620,0.0477,9.1911
765,Win,10,2.680,0.0575,9.2448
766,Win,12,1.765,0.0411,9.2031
767,Win,14,0.760,0.0628,9.1594
768,Win,27,1.200,0.0454,9.1800
769,Win,38,2.155,0.0667,9.1650
770,Win,25,0.610,0.0440,9.1387
771,Win,40,2.240,0.0482,9.1685
772,Loss/Draw,11,-0.435,0.0357,9.1335
773,Win,21,0.430,0.0513,9.2162
774,Win,10,0.570,0.0478,9.1083
775,Win,28,1.100,0.0405,9.2182
776,Win,40,2.435,0.0402,9.1541
777,Win,15,2.560,0.0391,9.2830
778,Win,36,4.170,0.0523,9.2397
779,Win,8,2.585,0.0397,9.2388
780,Win,38,3.255,0.0479,9.1781
781,Win,40,2.030,0.0453,9.1573
782,Win,6,1.490,0.0379,9.1123
783,Win,40,2.840,0.0539,9.1564
784,Win,17,0.945,0.0399,9.0850
785,Win,18,0.445,0.0539,9.2401
786,Win,34,4.075,0.0527,9.1921
787,Win,21,0.925,0.0368,9.2209
788,Win,14,3.270,0.0409,9.1029
789,Win,9,2.275,0.0408,9.1693
790,Win,40,2.240,0.0509,9.1313
791,Win,21,1.230,0.0532,9.0766
792,Win,25,2.500,0.0606,9.1354
793,Win,33,1.065,0.0459,9.2183
794,Win,22,0.415,0.0510,9.2173
795,Win,35,3.670,0.0339,9.1392
796,Win,40,1.430,0.0429,9.1990
797,Win,26,0.100,0.0273,9.2096
798,Win,31,0.380,0.0460,9.1714
799,Win,26,0.290,0.0370,9.2599
800,Loss/Draw,8,-0.525,0.0510,9.0524
801,Win,38,2.050,0.0488,9.1876
802,Win,27,3.205,0.0550,9.0990
803,Win,40,2.845,0.0371,9.1733
804,Win,37,3.365,0.0405,9.1911
805,Win,27,0.800,0.0479,9.1424
806,Win,19,2.740,0.0467,9.2103
807,Win,10,0.770,0.0495,9.1518
808,Win,34,0.260,0.0344,9.1958
809,Win,40,3.145,0.0460,9.2130
810,Win,40,1.840,0.0461,9.1992
811,Win,21,0.325,0.0469,9.1987
812,Win,40,2.240,0.0532,9.1847
813,Win,40,2.040,0.0415,9.2106
814,Win,38,1.545,0.0532,9.2058
815,Win,29,3.405,0.0416,9.1495
816,Win,40,2.240,0.0436,9.2188
817,Win,19,3.245,0.0406,9.1960
818,Win,24,1.005,0.0555,9.2010
819,Win,34,1.375,0.0362,9.1633
820,Win,15,0.860,0.0441,9.2821
821,Win,29,0.885,0.0502,9.2076
822,Win,29,0.485,0.0451,9.1539
823,Win,33,0.665,0.0423,9.2059
824,Loss/Draw,12,-0.240,0.0608,9.1274
825,Win,40,1.840,0.0577,9.1437
826,Win,31,1.580,0.0513,9.1113
827,Win,40,1.440,0.0439,9.1926
828,Win,40,2.240,0.0430,9.2240
829,Win,40,2.345,0.0512,9.1972
830,Win,40,1.840,0.0406,9.2042
831,Win,21,2.025,0.0409,9.2303
832,Win,38,2.155,0.0500,9.1709
833,Win,21,0.830,0.0553,9.1802
834,Loss/Draw,4,-0.915,0.0333,9.3126
835,Loss/Draw,21,-0.075,0.0341,9.2621
836,Win,6,1.995,0.0365,9.2184
837,Win,14,0.245,0.0482,9.1785
838,Win,32,2.780,0.0381,9.2321
839,Win,11,2.485,0.0332,9.0977
840,Win,27,0.695,0.0524,9.1956
841,Win,40,2.240,0.0499,9.1542
842,Win,30,0.985,0.0388,9.2323
843,Win,40,1.735,0.0489,9.1378
844,Win,40,2.030,0.0538,9.1788
845,Win,29,1.295,0.0416,9.1724
846,Win,13,2.560,0.0485,9.2191
847,Loss/Draw,16,-0.260,0.0422,9.1750
848,Win,35,0.855,0.0452,9.1884
849,Win,40,2.325,0.0446,9.1847
850,Win,39,1.035,0.0446,9.2222
851,Win,12,2.470,0.0432,9.1203
852,Win,40,3.840,0.0447,9.2306
853,Win,12,2.565,0.0230,9.2027
854,Win,19,1.930,0.0297,9.2114
855,Loss/Draw,8,-0.525,0.0457,9.0953
856,Win,24,0.710,0.0382,9.2130
857,Win,7,2.095,0.0390,9.1913
858,Win,10,1.470,0.0308,9.2175
859,Win,26,0.700,0.0388,9.1963
860,Win,18,0.530,0.0469,9.1824
861,Win,23,2.825,0.0521,9.1541
862,Win,40,1.735,0.0510,9.1319
863,Loss/Draw,20,-0.375,0.0336,9.2318
864,Win,40,2.345,0.0419,9.2173
865,Win,28,2.505,0.0471,9.1535
866,Loss/Draw,8,-0.525,0.0530,9.1634
867,Win,7,0.480,0.0452,9.2596
868,Win,34,1.070,0.0411,9.1964
869,Win,19,0.535,0.0423,9.1651
870,Win,26,1.310,0.0417,9.2675
871,Win,13,0.355,0.0569,9.1768
872,Win,40,1.935,0.0428,9.2395
873,Win,7,2.685,0.0592,9.0856
874,Win,30,2.990,0.0482,9.1628
875,Win,13,0.460,0.0488,9.0979
876,Win,40,2.135,0.0459,9.1572
877,Win,40,1.630,0.0453,9.2038
878,Win,40,0.725,0.0540,9.1434
879,Win,14,1.450,0.0460,9.1251
880,Win,31,2.775,0.0400,9.1814
881,Win,40,1.840,0.0445,9.1291
882,Win,18,1.150,0.0485,9.2061
883,Win,10,2.585,0.0359,9.2702
884,Win,15,2.455,0.0503,9.1966
885,Win,40,1.640,0.0487,9.1842
886,Win,33,1.370,0.0352,9.1751
887,Win,40,1.335,0.0418,9.2289
888,Win,40,2.640,0.0524,9.1391
889,Win,30,2.685,0.0351,9.2104
890,Win,19,0.430,0.0558,9.1641
891,Win,31,0.770,0.0491,9.1260
892,Win,23,0.915,0.0420,9.1054
893,Win,22,0.520,0.0621,9.2391
894,Win,20,1.235,0.0399,9.1926
895,Win,40,1.735,0.0522,9.1430
896,Loss/Draw,28,-0.110,0.0415,9.2082
897,Win,28,1.595,0.0425,9.1732
898,Win,7,0.585,0.0405,9.1972
899,Win,30,1.885,0.0539,9.1875
900,Win,17,0.640,0.0295,9.1786
901,Win,13,2.770,0.0485,9.1535
902,Win,21,0.420,0.0441,9.1979
903,Win,30,3.400,0.0385,9.1700
904,Win,11,0.670,0.0461,9.0846
905,Win,40,3.040,0.0488,9.1787
906,Win,10,1.775,0.0288,9.1935
907,Win,40,2.040,0.0474,9.1916
908,Win,40,2.630,0.0371,9.1893
909,Win,40,2.135,0.0549,9.2152
910,Win,39,1.245,0.0451,9.2205
911,Win,18,0.035,0.0624,9.1058
912,Win,40,2.135,0.0400,9.2270
913,Win,21,0.325,0.0461,9.2035
914,Win,34,0.660,0.0530,9.1714
915,Win,14,2.860,0.0760,9.1429
916,Win,40,2.345,0.0454,9.2047
917,Win,18,0.940,0.0382,9.1818
918,Win,25,0.705,0.0468,9.2324
919,Win,40,1.935,0.0437,9.2351
920,Win,40,2.240,0.0538,9.1624
921,Win,17,0.240,0.0485,9.1768
922,Win,12,2.670,0.0349,9.1433
923,Win,39,0.845,0.0528,9.1597
924,Win,10,2.680,0.0353,9.1880
925,Win,17,2.350,0.0537,9.1317
926,Win,17,0.735,0.0511,9.1400
927,Win,27,3.310,0.0347,9.2310
928,Win,11,0.670,0.0761,9.2063
929,Win,16,2.450,0.0442,9.0970
930,Win,38,1.935,0.0406,9.1877
931,Win,32,2.475,0.0353,9.1828
932,Win,40,3.145,0.0486,9.1673
933,Win,40,1.840,0.0507,9.2214
934,Win,10,0.675,0.0748,9.1942
935,Win,15,0.755,0.0651,9.1175
936,Win,18,1.140,0.0463,9.1886
937,Win,13,2.665,0.0360,9.1531
938,Loss/Draw,17,-0.570,0.0381,9.2052
939,Win,35,1.265,0.0525,9.1992
940,Win,11,0.670,0.0593,9.2303
941,Win,17,0.945,0.0514,9.1641
942,Win,40,2.135,0.0559,9.2084
943,Win,28,0.500,0.0389,9.1824
944,Win,40,3.040,0.0505,9.1320
945,Win,38,1.250,0.0583,9.1591
946,Win,40,2.040,0.0461,9.1628
947,Win,40,2.935,0.0521,9.1642
948,Loss/Draw,26,-0.205,0.0420,9.1473
949,Loss/Draw,11,-0.540,0.0407,9.2617
950,Win,31,2.785,0.0397,9.1900
951,Win,16,1.360,0.0486,9.1510
952,Win,12,0.265,0.0305,9.1306
953,Win,20,2.135,0.0459,9.1904
954,Win,35,1.960,0.0406,9.1306
955,Win,21,2.835,0.0432,9.1625
956,Win,26,1.395,0.0453,9.1746
957,Win,33,1.670,0.0376,9.2065
958,Loss/Draw,10,-0.640,0.0303,9.2629
959,Win,12,0.970,0.0470,9.2462
960,Win,40,1.535,0.0321,9.2063
961,Win,40,1.430,0.0440,9.1690
962,Win,21,2.530,0.0571,9.1595
963,Win,33,2.175,0.0464,9.1416
964,Win,13,0.260,0.0319,9.2098
965,Win,24,0.510,0.0384,9.2133
966,Win,18,2.945,0.0431,9.2020
967,Win,12,0.465,0.0479,9.1726
968,Win,11,0.165,0.0465,9.1289
969,Win,31,0.380,0.0404,9.1669
970,Win,31,0.675,0.0652,9.2197
971,Loss/Draw,22,-0.490,0.0398,9.2297
972,Win,34,3.065,0.0391,9.1755
973,Win,40,3.535,0.0519,9.1744
974,Win,13,0.250,0.0401,9.1195
975,Win,26,2.810,0.0457,9.2486
976,Win,40,1.735,0.0524,9.2190
977,Win,21,1.325,0.0527,9.2428
978,Win,20,3.230,0.0508,9.2162
979,Win,20,3.240,0.0568,9.1964
980,Win,34,1.270,0.0347,9.2359
981,Loss/Draw,12,-0.650,0.0530,9.1747
982,Win,31,0.485,0.0540,9.1297
983,Win,40,3.145,0.0355,9.2003
984,Win,19,2.635,0.0314,9.1745
985,Win,31,2.985,0.0440,9.1471
986,Win,28,0.795,0.0365,9.2060
987,Win,13,1.865,0.0417,9.1590
988,Win,16,0.940,0.0407,9.1866
989,Win,21,2.320,0.0472,9.2041
990,Win,14,0.760,0.0612,9.1428
991,Loss/Draw,11,-0.035,0.0547,9.1519
992,Loss/Draw,7,-0.120,0.0346,9.2790
993,Win,17,0.640,0.0364,9.1251
994,Loss/Draw,19,-0.475,0.0417,9.2563
995,Win,24,0.405,0.0403,9.1900
996,Win,12,0.560,0.0507,9.2654
997,Win,40,1.830,0.0500,9.1559
998,Win,40,1.735,0.0564,9.1725
999,Win,29,0.590,0.0494,9.1113
1000,Win,21,0.830,0.0614,9.1622
