Game,Outcome,Moves,FinalReward,AvgLoss,AvgQ
143,Win,40,3.840,0.0920,5.6236
144,Loss/Draw,8,-0.220,0.1054,5.6571
145,Win,9,0.375,0.1019,5.5771
146,Loss/Draw,14,-0.040,0.0969,5.6454
147,Win,15,1.365,0.0945,5.6596
148,Win,37,1.550,0.1035,5.6972
149,Win,40,2.335,0.1082,5.7458
150,Win,23,2.825,0.0969,5.7869
151,Win,39,2.150,0.1035,5.8178
152,Win,31,2.785,0.0837,5.8831
153,Win,20,2.820,0.1235,5.8526
154,Win,27,2.000,0.1084,5.8854
155,Loss/Draw,9,-0.635,0.1112,5.9426
156,Win,18,2.335,0.1010,5.9686
157,Win,27,0.505,0.0926,6.0233
158,Loss/Draw,7,-0.930,0.0746,6.0782
159,Win,15,2.150,0.0966,5.9794
160,Win,40,1.935,0.1205,5.9720
161,Loss/Draw,23,-0.590,0.0811,6.1133
162,Win,18,0.530,0.0888,6.1015
163,Win,40,1.535,0.0877,6.1075
164,Win,25,1.610,0.1172,6.0717
165,Loss/Draw,10,-0.335,0.0882,6.2405
166,Win,32,3.875,0.1013,6.2374
167,Win,14,1.555,0.1217,6.2461
168,Win,23,0.020,0.1214,6.2128
169,Win,18,2.745,0.1474,6.1838
170,Win,40,3.040,0.0962,6.3131
171,Win,14,1.450,0.0851,6.3490
172,Win,13,1.865,0.1128,6.4258
173,Loss/Draw,18,-0.470,0.1073,6.4005
174,Win,34,4.180,0.1122,6.4133
175,Win,13,2.960,0.0961,6.4094
176,Win,17,2.245,0.1073,6.4322
177,Win,37,3.155,0.0900,6.4606
178,Win,10,0.265,0.0946,6.4900
179,Loss/Draw,18,-0.270,0.0964,6.4954
180,Win,40,3.040,0.0892,6.5988
181,Loss/Draw,7,-0.625,0.1007,6.6585
182,Loss/Draw,4,-0.915,0.0844,6.6260
183,Win,13,0.250,0.0746,6.5879
184,Win,27,3.605,0.0936,6.6422
185,Win,20,0.130,0.0952,6.6740
186,Win,10,3.185,0.1276,6.5902
187,Loss/Draw,7,-0.025,0.0872,6.6790
188,Loss/Draw,3,-1.015,0.0659,6.7273
189,Win,16,0.035,0.0950,6.6876
190,Win,25,0.190,0.1122,6.6943
191,Win,16,0.035,0.1105,6.6509
192,Win,27,0.695,0.1272,6.7209
193,Win,37,3.260,0.1020,6.8194
194,Win,25,1.610,0.0860,6.8552
195,Win,40,2.345,0.0911,6.8352
196,Win,40,3.145,0.1175,6.8720
197,Win,26,2.810,0.0911,6.9553
198,Win,8,2.490,0.1233,6.9344
199,Win,27,2.910,0.1194,6.9528
200,Loss/Draw,13,-0.855,0.1015,6.9453
201,Win,6,0.285,0.1276,6.9817
202,Win,40,3.840,0.1007,7.0258
203,Loss/Draw,6,-0.620,0.0681,7.0167
204,Win,31,0.875,0.0951,7.0662
205,Win,19,1.030,0.1116,7.0569
206,Win,17,0.240,0.1314,7.0455
207,Loss/Draw,8,-0.030,0.1426,7.0584
208,Loss/Draw,4,-1.020,0.1174,7.1466
209,Win,23,0.810,0.0906,7.1467
210,Win,20,3.125,0.0891,7.1392
211,Win,40,1.935,0.1037,7.2215
212,Win,26,0.595,0.0971,7.3003
213,Win,33,3.470,0.1097,7.2102
214,Win,40,3.145,0.1138,7.2530
215,Win,6,1.385,0.1046,7.4835
216,Win,24,1.615,0.0960,7.3133
217,Win,26,2.705,0.0810,7.4068
218,Win,30,2.580,0.1111,7.3628
219,Loss/Draw,13,-0.055,0.0873,7.4894
220,Win,21,2.435,0.1150,7.3968
221,Win,10,0.970,0.0791,7.4827
222,Win,17,0.745,0.0897,7.4568
223,Win,20,3.135,0.1049,7.5107
224,Win,13,0.460,0.1135,7.4738
225,Win,5,1.495,0.0905,7.5357
226,Win,23,0.420,0.1002,7.5685
227,Win,12,0.665,0.1243,7.4993
228,Win,17,4.160,0.1021,7.5845
229,Win,22,1.925,0.0940,7.5698
230,Win,16,2.345,0.1093,7.6029
231,Win,25,4.120,0.1028,7.7245
232,Win,13,1.460,0.0936,7.5796
233,Win,21,1.430,0.1165,7.6139
234,Loss/Draw,11,-0.435,0.0730,7.6801
235,Win,15,0.650,0.1059,7.7011
236,Win,11,1.575,0.0927,7.7915
237,Loss/Draw,4,-1.020,0.0660,7.7736
238,Loss/Draw,14,-0.450,0.1163,7.7674
239,Win,17,1.545,0.0898,7.6989
240,Win,40,3.040,0.1187,7.7413
241,Win,27,2.000,0.1149,7.8153
242,Loss/Draw,17,-0.265,0.1166,7.7974
243,Win,12,1.360,0.1179,7.7456
244,Win,9,2.475,0.1167,7.8181
245,Win,19,0.735,0.0890,7.8957
246,Win,21,3.340,0.1059,7.9183
247,Win,23,2.125,0.1071,7.8562
248,Win,30,1.480,0.0958,7.9251
249,Win,33,0.770,0.1232,7.8805
250,Win,40,2.345,0.1145,7.9250
251,Win,8,2.280,0.1678,7.9786
252,Win,38,2.050,0.0901,7.9915
253,Win,32,1.575,0.1023,8.0514
254,Win,18,2.240,0.0929,8.1010
255,Win,17,1.355,0.1063,8.0673
